year,zip_code,is_brand,volume_sold,sale_dollars
2012,52553,1,48.75,1752.4
2012,52556,0,55666.08,740209.41
2012,52556,1,180,6350.46
2012,52565,0,12402.41,162854.63
2012,52565,1,23.25,834.76
2012,52571,0,3548.25,49056.11
2012,52571,1,19,600.44
2012,52577,0,92460.88,1200442.93
2012,52577,1,414.93,14240.02
2012,52591,0,9105.93,103844.51
2012,52591,1,5.25,187.72
2012,52601,0,186081.4,2393250.33
2012,52601,1,1786.15,60681.74
2012,52625,0,1434.3,19904.52
2012,52626,0,2046.02,26176.58
2012,52627,0,79666.28,1003479.56
2012,52627,1,366.94,13032.03
2012,52632,0,131266.49,1726137.67
2012,52632,1,1170.2,38951.01
2012,52637,0,8106,104276.33
2012,52637,1,36,1192.48
2012,52641,0,70751.26,927063.53
2012,52641,1,731.62,24192.03
2012,52653,0,8850.6,98394.98
2012,52653,1,31,1071.24
2012,52655,0,42800.44,534138.8
2012,52655,1,256.04,9174.6
2012,52656,0,15011.5,222606.5
2012,52656,1,98.25,3471.76
2012,52722,0,335535.49,4977547.31
2012,52722,1,4391.77,144484.8
2012,52726,0,5347.57,62031.78
2012,52726,1,37.75,1280.68
2012,52728,0,2681.55,35497.47
2012,52730,0,6670.26,82910.22
2012,52730,1,31.5,1123.39
2012,52732,0,213509.86,2751328.78
2012,52732,1,1151.8,39289.45
2012,52733,0,9156.6,101547.68
2012,52733,1,67.5,2414.4
2012,52738,0,10289.27,138691.52
2012,52738,1,9.75,350.48
2012,52742,0,24044.75,256706.14
2012,52742,1,54,1929.12
2012,52747,0,5524.42,59977.03
2012,52747,1,15,537.2
2012,52748,0,30625.45,370324.68
2012,52748,1,111.7,4063.74
2012,52751,0,3469.95,39291.38
2012,52751,1,7.5,268.6
2012,52753,0,23599.42,469544.66
2012,52753,1,93.15,3164.02
2012,52761,0,195242.69,2527380.94
2012,52761,1,775.7,26818.75
2012,52772,0,23597.53,276928.1
2012,52772,1,81.82,2951.92
2012,52776,0,8593.34,119817.14
2012,52776,1,40.5,1447.84
2012,52778,0,6281.48,67749
2012,52778,1,45.45,1637.64
2012,52802,0,65833.38,794874.7
2012,52802,1,635.31,22225.7
2012,52803,0,34306.87,520777.13
2012,52803,1,971.65,34103.08
2012,52804,0,262833.96,3563799.9
2012,52804,1,2209.4,74827.32
2012,52806,0,127397.47,1607556.36
2012,52806,1,749.48,26391.68
2012,52807,0,398070.57,5748159.11
2012,52807,1,3754.18,127036.78
2012,56201,0,571.5,9859.74
2012,56201,1,9,323.52
2012,712-2,0,8114.79,117733.93
2012,712-2,1,62.44,2173.03
2013,50002,0,2553.1,38681.15
2013,50002,1,31.5,1141.92
2013,50003,0,26335.96,318603.76
2013,50003,1,282.97,10169.44
2013,50006,0,7233.77,89359.39
2013,50006,1,64.5,2342.2
2013,50009,0,154479.42,2094332.63
2013,50009,1,915.98,31303.1
2013,50010,0,478245.09,6633899.28
2013,50010,1,3185.78,106933.64
2013,50014,0,29852.32,400728.22
2013,50014,1,176.62,6143.45
2013,50020,0,5952.67,69945.89
2013,50020,1,10,326.6
2013,50021,0,202420.67,2776562.71
2013,50021,1,929.74,33202.46
2013,50022,0,75229.05,963287.05
2013,50022,1,391.62,13802.4
2013,50023,0,80901.18,1176777.09
2013,50023,1,575.27,20192.88
2013,50025,0,11725.78,130592.74
2013,50025,1,21.75,790.88
2013,50028,0,2665.5,30546.96
2013,50028,1,1.5,54.7
2013,50033,0,3033.62,38877.47
2013,50033,1,13.12,465.12
2013,50035,0,5433.72,72951.68
2013,50035,1,19.44,694.48
2013,50036,0,99928.5,1245689.96
2013,50036,1,359.48,12633.55
2013,50044,0,1732.5,15808.68
2013,50046,0,2200.85,28521.23
2013,50046,1,7.5,273.5
2013,50048,0,1432.5,20053.86
2013,50048,1,13.5,473.52
2013,50049,0,27055.36,343284.82
2013,50049,1,60.82,2220.42
2013,50054,0,10364.78,114621.05
2013,50054,1,53.99,1926.24
2013,50056,0,3200.7,37307.46
2013,50058,0,4636.87,60886.71
2013,50058,1,18,587.88
2013,50060,0,7042.09,82424.59
2013,50060,1,72.75,2640.56
2013,50061,0,324,5833.32
2013,50069,0,5582.93,77473.09
2013,50069,1,45,1627.72
2013,50071,0,1843.35,19016.49
2013,50072,0,1646,20859.56
2013,50075,0,3729.15,45966.19
2013,50075,1,24.75,883.8
2013,50076,0,2583,30639.66
2013,50107,0,1825.07,23131.72
2013,50109,0,2134.33,26326.7
2013,50111,0,78294.6,1071169.46
2013,50111,1,387.72,13946.94
2013,50112,0,72359.79,967679.05
2013,50112,1,293.53,10368.28
2013,50115,0,6471.71,74990.72
2013,50122,0,3846.01,39175.49
2013,50124,0,2907.86,40412.47
2013,50125,0,113118.65,1469610.39
2013,50125,1,396.47,13649.74
2013,50126,0,60838.43,780909.48
2013,50126,1,187.45,6435.92
2013,50129,0,43417.5,484129.37
2013,50129,1,81.4,2855.38
2013,50130,0,2440.8,23832.06
2013,50131,0,83643.21,1180767.58
2013,50131,1,402.24,14609.94
2013,50136,0,2405.48,34798.58
2013,50136,1,4.87,173
2013,50138,0,63106.44,819039.56
2013,50138,1,278.58,9507.54
2013,50140,0,5628.92,72860.99
2013,50140,1,43.87,1576.14
2013,50142,0,4701.19,56614.99
2013,50142,1,11.63,418.1
2013,50144,0,6870.07,93729.99
2013,50150,0,720.89,10394.69
2013,50156,0,5945.12,69259.23
2013,50156,1,18,652.5
2013,50158,0,193195.55,2595620.73
2013,50158,1,730.34,25093.4
2013,50160,0,549.7,7870.48
2013,50161,0,2675.38,29856.43
2013,50162,0,672,8479.8
2013,50163,0,7941.88,115206.22
2013,50163,1,64.84,2059.52
2013,50170,0,5177.73,64401.28
2013,50171,0,18029.89,247689.54
2013,50171,1,14,491.5
2013,50174,0,467.31,6412.73
2013,50201,0,35075.81,421978.41
2013,50201,1,59.97,2173.18
2013,50208,0,111924.57,1421404.91
2013,50208,1,280.11,9671.55
2013,50210,0,2479.06,33853.64
2013,50210,1,26.25,936.24
2013,50211,0,34575.42,407227.41
2013,50211,1,124.11,4480.68
2013,50212,0,6061.99,71309.95
2013,50212,1,3,107.84
2013,50213,0,42316.5,539215.18
2013,50213,1,165,5748.38
2013,50216,0,13673.01,168276.41
2013,50216,1,32.25,1175.66
2013,50219,0,61227.06,827032.57
2013,50219,1,271.01,9311.51
2013,50220,0,44095.72,527757.47
2013,50220,1,98.98,3460.8
2013,50225,0,4758.3,59997.71
